UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Connecticut Actual Load (MW),Maine Actual Load (MW),New Hampshire Actual Load (MW),Northeast Massachusetts Actual Load (MW),Rhode Island Actual Load (MW),Southeast Massachusetts Actual Load (MW),Vermont Actual Load (MW),Western/Central Massachusetts Actual Load (MW)
1/3/2024 1:00,1/2/2024 19:00,1/2/2024 20:00,1/2/2024,20,3853.079,1596.023,1596.963,3151.603,1027.286,2014.244,767.551,2224.343
1/3/2024 2:00,1/2/2024 20:00,1/2/2024 21:00,1/2/2024,21,3721.147,1531.859,1532.001,3055.387,993.202,1940.525,737.722,2147.362
1/3/2024 3:00,1/2/2024 21:00,1/2/2024 22:00,1/2/2024,22,3530.105,1442.644,1431.86,2902.771,931.034,1823.886,698.81,2029.182
1/3/2024 4:00,1/2/2024 22:00,1/2/2024 23:00,1/2/2024,23,3262.435,1347.069,1320.834,2716.5,866.119,1665.915,654.923,1891.992
1/3/2024 5:00,1/2/2024 23:00,1/3/2024 0:00,1/2/2024,24,3003.632,1272.9,1228.186,2539.459,812.911,1542.891,608.968,1777.035
1/3/2024 6:00,1/3/2024 0:00,1/3/2024 1:00,1/3/2024,1,2864.664,1244.219,1168.989,2425.314,774.608,1466.664,574.515,1695.108
1/3/2024 7:00,1/3/2024 1:00,1/3/2024 2:00,1/3/2024,2,2783.636,1220.341,1144.494,2353.885,749.81,1426.121,558.742,1647.376
1/3/2024 8:00,1/3/2024 2:00,1/3/2024 3:00,1/3/2024,3,2748.752,1207.774,1130.956,2341.734,740.806,1408.179,555.395,1624.106
1/3/2024 9:00,1/3/2024 3:00,1/3/2024 4:00,1/3/2024,4,2748.22,1213.042,1137.482,2335.871,740.787,1413.6,550.742,1630.561
1/3/2024 10:00,1/3/2024 4:00,1/3/2024 5:00,1/3/2024,5,2827.408,1248.617,1173.853,2407.049,759.618,1458.403,562.352,1672.498
