ags,year,state,state_name,eligible_voters,number_voters,valid_votes,invalid_votes,turnout,cdu,csu,spd,gruene,fdp,linke_pds,afd,npd,rep,die_rechte,dvu,iii_weg,bf_b,ddd,dg,dns,drp,dsu,dkp,kpd,mlpd,sgp,spad,bsa,bwk,x50plus,ab_2000,ad_demokraten,adf,adm,agfg,apd,appd,aufbruch,b,bge,big,bp,buendnis_c,buendnis21,buergerbewegung,bueso,cbv,chance_2000,cm,deutschland,di_b,die_basis,die_humanisten,die_partei,dm,dp,dpd,du,eap,familie,forum,frauen,freie_waehler,fwd,gartenpartei,gb_bhe,gdp,gesundheitsforschung,graue,gvp,hp,liebe,liga,lkr,menschliche_welt,mg,muendige,naturgesetz,nichtwaehler,oedp,offensive_d,oko_union,partei_der_vernunft,pass,patrioten,pbc,pd_f,pdv,piraten,prg,pro_deutschland,pro_dm,rentner,rrp,schill,ssw,statt_partei,team_todenhoefer,tierschutz,tierschutzallianz,unabhaengige,usd,v_partei3,vaa,violetten,volksabstimmung,volt,zentrum,cdu_csu,far_right,far_left,far_left_w_linke
3023,1953,3,Niedersachsen,34624,31038,30264,774,0.896430222,0.322314582,0,0.327759521,,0.035633739,,,,,,,,,,,0,0.039467749,,,0.007635801,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.142212771,,,,,,,,,,0.09469038,,,,0.005348283,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.322314582,0.039467749,0.007635801,0.007635801
3024,1953,3,Niedersachsen,359403,313810,307938,5872,0.873142406,0.297861763,0,0.431525445,,0.060319939,,,,,,,,,,,0,0.027022721,,,0.016691629,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.10169848,,,,,,,,,,0.037618304,,,,0.008549759,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.297861763,0.027022721,0.016691629,0.016691629
3025,1953,3,Niedersachsen,49683,42593,41258,1335,0.857295252,0.256262766,0,0.165074073,,0.102998145,,,,,,,,,,,0,0.08548353,,,0.002817364,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.21987181,,,,,,,,,,0.133331768,,,,0.002817364,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.256262766,0.08548353,0.002817364,0.002817364
3026,1953,3,Niedersachsen,80865,71445,69047,2398,0.883509553,0.288669606,0,0.224116453,,0.014808594,,,,,,,,,,,0,0.053411715,,,0.004828889,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.249002729,,,,,,,,,,0.128266499,,,,0.003331234,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.288669606,0.053411715,0.004828889,0.004828889
3027,1953,3,Niedersachsen,58271,53410,51131,2279,0.916579431,0.301853585,0,0.348661299,,0.036753417,,,,,,,,,,,0,0.030967984,,,0.012600637,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.069106909,,,,,,,,,,0.149990638,,,,0.007395619,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.301853585,0.030967984,0.012600637,0.012600637
3028,1953,3,Niedersachsen,60901,55812,54283,1529,0.916438154,0.261915,0,0.331272845,,0.032860317,,,,,,,,,,,0,0.032286963,,,0.007758188,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.142693328,,,,,,,,,,0.159714757,,,,0.00410306,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.261915,0.032286963,0.007758188,0.007758188
3029,1953,3,Niedersachsen,105390,96583,94146,2437,0.916434197,0.265667871,0,0.440791858,,0.057898388,,,,,,,,,,,0,0.026629945,,,0.013014713,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.089591336,,,,,,,,,,0.076121057,,,,0.005052649,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.265667871,0.026629945,0.013014713,0.013014713
3030,1953,3,Niedersachsen,46342,41297,39957,1340,0.891135471,0.209022447,0,0.316366806,,0.041092573,,,,,,,,,,,0,0.034651427,,,0.00726445,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.198513209,,,,,,,,,,0.151996513,,,,0.008644696,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.209022447,0.034651427,0.00726445,0.00726445
3031,1953,3,Niedersachsen,71511,62870,60726,2144,0.879165443,0.216701129,0,0.264100525,,0.032686496,,,,,,,,,,,0,0.083712422,,,0.005280738,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.231080006,,,,,,,,,,0.126626372,,,,0.005710196,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.216701129,0.083712422,0.005280738,0.005280738
3032,1953,3,Niedersachsen,56358,50804,49219,1585,0.901451435,0.268738682,0,0.39581529,,0.083812298,,,,,,,,,,,0,0.02143532,,,0.010983387,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.065408236,,,,,,,,,,0.110660578,,,,0.011947878,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.268738682,0.02143532,0.010983387,0.010983387
