company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
Icon Syndicate,,,,,,Icon Sullivan,Chibougamau ,Quebec,50.238014,-73.811065,1967,1976,,,,,"Copper, Silver, Zinc",Copper,Silver,Zinc,,,,,,,0,1,0,,,
Sodium Sulphate (Saskatchewan) Ltd. ,Hudson Bay Mining and Smelting Co. Ltd.,Agassiz Resources Ltd.,,,,,Alsask ,Saskatchewan,51.339285,-109.8651447,1967,1971,,,,,Sodium Sulphate,Sodium Sulphate,,,,,,,,,0,1,0,,,
Share Mines and Oils Ltd. ,,,,,,Hanson Lake,Hanson Lake ,Saskatchewan,54.67499654,-102.8494419,1967,1969,,,,,"Zinc, Lead, Copper, Silver",Zinc,Lead,Copper,Silver,,,,,,0,1,0,,,
British Columbia Molybdenum,Amax of Canada Ltd.,,,,,Alice Arm,Kitsault ,British Columbia,55.421943,-129.41944,1967,1982,,,,,"Molybdenum, Silver, Lead, Zinc, Copper, Tungsten",Molybdenum,Silver,Lead,Zinc,Copper,Tungsten,,,,0,1,0,,,
Wasamac Mines Ltd. ,,,,,,Wasamac 2,Arntfield ,Quebec,48.212151,-79.198681,1968,1988,1998,2001,,,"Gold, Copper, Silver",Gold,Copper,Silver,,,,,,,0,1,0,,,
Tantalum Mining Corporation of Canada Ltd.,,,,,,Bernic Lake,Lac du Bonnet ,Manitoba,50.42861111,-95.4525,1969,2016,,,,,"Tantalum, Cesium",Tantalum,Cesium,,,,,,,,0,1,0,,,
Cape Breton Development Corp.,,,,,,Phalen,New Waterford,Nova Scotia,46.25314274,-60.09054688,1970,1976,,,,,Coal,Coal,,,,,,,,"Closing of Devco’s Phalen Colliery, New Waterford, Cape Breton Island, Nova Scotia 1999 ",0,1,0,,,
Noranda Mines Ltd.,,,,,,,Cadillac ,Quebec,48.24999,-79.0164,1970,1980,,,,,"Copper, Gold, Silver, Selenium, Tellurium, Pyrite",Copper,Gold,Silver,Selenium,Tellurium,Pyrite,,,,0,1,0,,,
Chesbar Iron Powder Ltd.,,,,,,,,Quebec,49.452351,-76.502154,1970,1971,,,,,Iron,Iron,,,,,,,,,0,1,0,,,
"Canadian Salt Company, Ltd.",,,,,,,Belle Plaine ,Saskatchewan,50.39373442,-105.1557625,1970,open,,,,,Salt,Salt,,,,,,,,,0,1,0,,,
Potash Corporation of Saskatchewan Inc.,,,,,,Rocanville Division,Rocanville,Saskatchewan,50.458098,-101.5334994,1970,open,,,,,Potash,Potash,,,,,,,,,0,1,0,,,
Falconbridge Nickel Mines Ltd. ,,,,,,Manibridge,Wabowden,Manitoba,54.70222222,-98.83722222,1971,1977,,,,,"Nickel, Copper",Nickel,Copper,,,,,,,,0,1,0,,,
Dawson Eldorado Gold Explorations Ltd.,,,,,,Plata ,,Yukon,63.58583333,-132.0319444,1972,2009,,,,,"Silver, Lead, Gold",Silver,Lead,Gold,,,,,,,0,1,0,,,
"Miller Minerals, a division of Miller Paving Limited",Dymond Clay Products Ltd.,,,,,Haileybury,Lake Timiskaming ,Ontario,47.45408113,-79.67363424,1991,open,,,,,"Limestone, lime",Limestone,Lime,,,,,,,,0,1,0,,,
Luscar Ltd.,,,,,,Shand,Estevan ,Saskatchewan,49.100149,-102.8797397,1992,open,,,,,Coal,Coal,,,,,,,,,0,1,0,,,
Brogan Mining Company Limited,Greenhills Development Ltd.,,,,,Sullivan Creek or Florence,Florence ,Nova Scotia,46.27066384,-60.28226058,1997,2010,,,,,Coal,Coal,,,,,,,,"Rio Algom constructing plant for tin mine, near Yarmouth, Nova Scotia",0,1,0,,,
Richmont Mines Inc.,Rambler Metals and Mining PLC,,,,,Nugget Pond,Baie Verte ,Newfoundland-and-Labrador,49.84502134,-55.77535906,1997,2010,,,,,"Gold, Copper",Gold,Copper,,,,,,,,0,1,0,,,
Comox Mining Co. Ltd. ,Canadian Collieries (Dunsmuir) Ltd. ,,,,,,,British Columbia,49.631388,-125.03805,1888,1967,,,,,"Coal, Fireclay",Coal,Fireclay,,,,,,,,0,0,1,https://www.memorybc.ca/canadian-collieries-dunsmuir,,
