Cat_id,Season,Active,Lying,Sitting,Standing,Grooming,Littering,Eating,Scratching,Total,propActive,propLying,propSitting,propStanding,propGrooming,propLittering,propEating,propScratching,Cat_Age,Cat_Sex,BW,BCS,BCS_ord,Housing,Area,Diet,Coat,Owner,Owner_Age,Children,Cat1,Cat2,Dog
Cat16,Winter,13426,177874,198873,43061,26773,195,9799,399,470400,0.028541667,0.378133503,0.422774235,0.091541241,0.056915391,0.000414541,0.020831207,0.000848214,Prime,Neutered male,5.2,5,Ideal,Indoor,Urban,Mix,Long,Owner9,55 - 65 years,No,Two,Multi,No
Cat17,Winter,9924,209477,254739,86215,23257,494,20483,212,604801,0.016408703,0.346356901,0.42119474,0.142551021,0.038453971,0.000816798,0.033867338,0.000350529,Mature,Neutered male,3.5,5,Ideal,Indoor,Urban,Dry,Short,Owner17,25 - 34 years,No,Three,Multi,No
Cat18,Winter,13357,297278,154916,69449,15607,3,54051,140,604801,0.02208495,0.491530272,0.256143756,0.114829506,0.025805182,4.96E-06,0.089369892,0.000231481,Prime,Neutered male,5.8,7,Heavy,Indoor Outdoor,Rural,Mix,Short,Owner13,45 - 54 years,Yes,Two,Multi,No
Cat19,Winter,12987,219279,143495,181535,19517,167,27502,319,604801,0.021473179,0.362563885,0.237259859,0.30015658,0.032270119,0.000276124,0.045472808,0.000527446,Prime,Neutered female,4.3,8,Obese,Indoor Outdoor,Urban,Mix,Short,Owner18,45 - 54 years,Yes,One,Single,Yes
Cat2,Winter,8430,273204,61739,192306,18252,39,49933,898,604801,0.013938469,0.451725444,0.102081511,0.317965744,0.030178522,6.45E-05,0.082561041,0.001484786,Prime,Neutered female,4.2,6,Overweight,Indoor Outdoor,Urban,Mix,Short,Owner12,25 - 34 years,Yes,Two,Multi,No
Cat20,Winter,17467,252412,149041,107133,19549,50,58619,530,604801,0.028880574,0.417347194,0.246429817,0.177137604,0.032323029,8.27E-05,0.096922789,0.000876321,Mature,Neutered female,6,8,Obese,Indoor Outdoor,Rural,Dry,Short,Owner21,55 - 65 years,Yes,Two,Multi,Yes
Cat21,Winter,9557,283351,222203,50332,28467,217,9454,1220,604801,0.015801892,0.468502863,0.367398533,0.083220762,0.047068375,0.000358796,0.015631588,0.002017192,Prime,Neutered female,4.7,6,Overweight,Indoor Outdoor,Urban,Dry,Short,Owner4,18 - 24 years,Yes,One,Single,No
Cat22,Winter,5307,79079,470824,30174,16579,6,2556,276,604801,0.008774787,0.130752099,0.778477549,0.049890791,0.027412322,9.92E-06,0.004226183,0.000456348,Prime,Neutered female,5.4,6,Overweight,Indoor,Urban,Dry,Short,Owner17,25 - 34 years,No,Three,Multi,No
Cat23,Winter,15988,252700,175864,85914,30118,71,43663,483,604801,0.026435141,0.417823383,0.290779942,0.142053337,0.049798198,0.000117394,0.072193994,0.00079861,Junior,Neutered male,4.3,6,Overweight,Indoor,Urban,Mix,Short,Owner20,25 - 34 years,No,One,Single,No
Cat24,Winter,23677,217294,225949,93695,26071,3184,14341,590,604801,0.039148414,0.359281813,0.373592306,0.154918725,0.043106741,0.005264542,0.023711932,0.000975527,Prime,Neutered male,3.7,5,Ideal,Indoor Outdoor,Urban,Dry,Short,Owner19,35  - 44 years,Yes,Three,Multi,Yes
Cat25,Winter,10558,218704,265808,49510,31037,647,28012,525,604801,0.017456982,0.361613159,0.439496628,0.081861637,0.051317706,0.001069773,0.046316061,0.000868054,Mature,Neutered female,5.6,8,Obese,Indoor,Urban,Dry,Short,Owner6,25 - 34 years,No,One,Single,No
Cat26,Winter,21469,140996,272974,120832,40839,109,6166,1416,604801,0.035497626,0.233127921,0.451345153,0.199788029,0.06752469,0.000180225,0.010195089,0.002341266,Junior,Neutered male,5.2,7,Heavy,Indoor Outdoor,Urban,Dry,Short,Owner23,35  - 44 years,Yes,Two,Multi,No
Cat27,Winter,15772,192941,247623,73778,28160,41,45886,600,604801,0.026077999,0.319015676,0.409428887,0.121987232,0.04656077,6.78E-05,0.075869584,0.000992062,Junior,Neutered male,4.2,,,Indoor,Rural,Mix,Short,Owner10,45 - 54 years,No,Two,Multi,No
Cat28,Winter,37144,205799,225724,70733,39431,99,25276,595,604801,0.061415242,0.340275562,0.373220282,0.116952518,0.065196651,0.00016369,0.041792259,0.000983795,Junior,Neutered female,5.1,7,Heavy,Indoor Outdoor,Urban,Mix,Short,Owner3,25 - 34 years,No,Three,Multi,No
Cat3,Winter,10549,157176,335275,65754,24069,292,11442,244,604801,0.017442101,0.259880523,0.554355896,0.108720058,0.039796561,0.000482803,0.01891862,0.000403438,Mature,Neutered female,4.1,5,Ideal,Indoor,Urban,Dry,Long,Owner17,25 - 34 years,No,Three,Multi,No
Cat4,Winter,16255,301784,133348,59248,37727,409,54753,1277,604801,0.026876609,0.498980656,0.22048244,0.097962801,0.062379196,0.000676255,0.090530604,0.002111438,Mature,Neutered female,3.1,5,Ideal,Indoor,Urban,Mix,Long,Owner11,25 - 34 years,No,One,Single,No
Cat5,Winter,18699,278523,117315,95859,37360,79,56806,160,604801,0.030917608,0.460520072,0.193972894,0.158496762,0.061772385,0.000130621,0.093925109,0.00026455,Junior,Neutered male,5.6,6,Overweight,Indoor,Urban,Mix,Short,Owner5,25 - 34 years,No,One,Single,Yes
Cat6,Winter,29579,160233,223632,59797,46908,263,22437,751,543600,0.054413171,0.294762693,0.411390728,0.11000184,0.086291391,0.000483812,0.041274834,0.001381531,Junior,Neutered female,,,,Indoor Outdoor,Rural,Dry,Short,Owner7,25 - 34 years,No,One,Single,No
Cat7,Winter,9756,224572,243113,64013,41735,226,20258,1128,604801,0.016130926,0.371315524,0.401971888,0.105841426,0.069006169,0.000373677,0.033495315,0.001865076,Prime,Neutered female,,5,Ideal,Indoor,Urban,Mix,Long,Owner9,55 - 65 years,No,Two,Multi,No
Cat8,Winter,20460,136236,329563,62468,39693,67,15273,1041,604801,0.033829309,0.225257564,0.544911467,0.103286866,0.065629852,0.00011078,0.025252934,0.001721227,Junior,Neutered male,4.8,,,Indoor Outdoor,Urban,Dry,Short,Owner22,35  - 44 years,No,One,Single,No
Cat9,Winter,17819,265791,100593,114305,30841,18,75019,415,604801,0.029462584,0.439468519,0.16632413,0.18899605,0.050993633,2.98E-05,0.124039147,0.000686176,Junior,Neutered female,4.4,6,Overweight,Indoor Outdoor,Urban,Dry,Short,Owner14,35  - 44 years,Yes,Three,Multi,No
