Family,Binomial,TBL cm,Weight gr,DL mm,Pupil,Dentition,Toxicity & Dangerousness,Reproduction,Common Name
Typhlopidae,Afrotyphlops usambaricus,,,,vestigial eyes,non-fanged,non-venomous,,Usambara blind snake
Viperidae,Agkistrodon bilineatus,141,51.1,12,,front-fanged,venomous bite – very dangerous,ovoviviparous,Mexican cantil
Viperidae,Agkistrodon conanti,189,,,,front-fanged,venomous bite – dangerous,,Florida Cottonmouth
Viperidae,Agkistrodon contortrix,135,217.2,7.2,vertical slit,front-fanged,venomous bite – dangerous,live birth (unspecific),Copperhead
Viperidae,Agkistrodon howardgloydi,135,,,,front-fanged,venomous bite – dangerous,,Gloyd’s Moccasin
Viperidae,Agkistrodon laticinctus,95,,,,front-fanged,venomous bite – dangerous,,broad banded copperhead
Viperidae,Agkistrodon piscivorus,189,861,8,vertical slit,front-fanged,venomous bite – very dangerous,,Cottonmouth
Viperidae,Agkistrodon russeolus,112,,,,front-fanged,venomous bite – dangerous,,Yucatecan cantil
Viperidae,Agkistrodon taylori,110,,,,front-fanged,venomous bite – very dangerous,ovoviviparous,Castellana
Colubridae,Ahaetulla anomala,,,,,rear-fanged,venomous bite – potentially dangerous,,Variable coloured vine snake
Colubridae,Ahaetulla borealis,,,,horizontal keyhole,,,,
Colubridae,Ahaetulla dispar,79,,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,,Gunther's vine snake
Colubridae,Ahaetulla farnsworthi,,,,horizontal keyhole,,,,
Colubridae,Ahaetulla fasciolata,150,,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,,Speckle headed Vine Snake
Colubridae,Ahaetulla flavescens,,,,horizontal keyhole,,,,
Colubridae,Ahaetulla fronticincta,105,,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,,Burmese Vine Snake
Colubridae,Ahaetulla fusca,,,,horizontal keyhole,,,,
Colubridae,Ahaetulla isabellina,,,,horizontal keyhole,,,,
Colubridae,Ahaetulla laudankia,,,,,,,,
Colubridae,Ahaetulla malabarica,,,,horizontal keyhole,,,,
Colubridae,Ahaetulla mycterizans,120,,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,,Malayan Green whip snake
Colubridae,Ahaetulla nasuta,200,,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,,Long nosed whip snake
Colubridae,Ahaetulla oxyrhynca,,,,,,,,
Colubridae,Ahaetulla perroteti,61,,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,,Western Ghats Bronzeback
Colubridae,Ahaetulla prasina,197,78.2,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,ovoviviparous,Oriental whip snake
Colubridae,Ahaetulla pulverulenta,180,,,horizontal keyhole,rear-fanged,venomous bite – potentially dangerous,,Brown speckled whip snake
Colubridae,Ahaetulla rufusoculara,,,,,,,,
Colubridae,Ahaetulla sahyadrensis,,,,,,,,
Colubridae,Ahaetulla travancorica,,,,horizontal keyhole,,,,
Elapidae,Aipysurus apraefrontalis,110,,,roundish,front-fanged,venomous bite – very dangerous,live birth (unspecific),Short nosed Sea Snake
Elapidae,Aipysurus duboisii,148,,1.8,roundish,front-fanged,venomous bite – very dangerous,ovoviviparous,Dubois' sea snake
Elapidae,Aipysurus eydouxii,115,,,roundish,front-fanged,venomous bite – potentially dangerous,live birth (unspecific),Spine tailed sea snake
Elapidae,Aipysurus foliosquama,100,500,,roundish,front-fanged,venomous bite – very dangerous,live birth (unspecific),Leaf scaled sea snake
Elapidae,Aipysurus fuscus,100,,,roundish,front-fanged,venomous bite – very dangerous,live birth (unspecific),Timor reef snake
Elapidae,Aipysurus laevis,230,3000,5,roundish,front-fanged,venomous bite – very dangerous,ovoviviparous,Olive brown sea snake
Elapidae,Aipysurus mosaicus,110,,,,front-fanged,venomous bite – very dangerous,,Mosaic Sea Snake
Elapidae,Aipysurus pooleorum,114,,,roundish,front-fanged,venomous bite – very dangerous,,Shark Bay Sea Snake
Elapidae,Aipysurus tenuis,130,,,roundish,front-fanged,venomous bite – very dangerous,live birth (unspecific),Arafura Sea Snake
Pseudoxyrhophiidae,Alluaudina bellyi,45,,,"roundish,vertical slit",rear-fanged,unclear toxicity,,Yellow flanked Keeled Snake
Pseudoxyrhophiidae,Alluaudina mocquardi,50,,,roundish,rear-fanged,unclear toxicity,,Ankarana Keeled Snake
Lamprophiidae,Alopecion guttatum,68,,,vertical slit,non-fanged,non-venomous,,Spotted House Snake
Colubridae,Alsophis antiguae,86,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Antiguan Racer
Colubridae,Alsophis antillensis,131,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Antilles Racer
Colubridae,Alsophis danforthi,,,,,rear-fanged,venomous bite – potentially dangerous,,Danforth's Racer
Colubridae,Alsophis manselli,,,,,rear-fanged,venomous bite – potentially dangerous,,Montserrat Racer
Colubridae,Alsophis rijgersmaei,138,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Leeward Island Racer
Colubridae,Alsophis rufiventris,140,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Orange bellied Racer
Colubridae,Alsophis sanctonum,,,,,rear-fanged,venomous bite – potentially dangerous,,Terre De Haut Racer
Colubridae,Alsophis sibonius,,,,,rear-fanged,venomous bite – potentially dangerous,,Dominican Racer
Colubridae,Amastridium sapperi,,,,,rear-fanged,unclear toxicity,,Rusty headed snake
Colubridae,Amastridium veliferum,73,,,roundish,rear-fanged,unclear toxicity,,Rustyhead Snake
Atractaspididae,Amblyodipsas concolor,55,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Natal purple glossed snake
Atractaspididae,Amblyodipsas dimidiata,52,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Mpwapwa Purple glossed Snake
Atractaspididae,Amblyodipsas katangensis,41,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Katanga purple glossed snake
